user_id,item_id,score,con_label
384,1105,1,0
567,207,1,0
566,207,1,0
531,16,1,0
318,814,1,0
574,814,1,0
782,814,1,0
958,1358,1,0
713,1358,0,0
634,1535,1,0
635,1535,1,0
105,1479,1,0
25,1479,1,0
536,1228,0,1
25,1228,1,1
25,1228,1,1
755,1228,1,1
105,1216,1,1
25,1216,1,1
755,1216,1,1
755,207,1,0
663,207,0,0
536,494,1,0
566,494,1,0
567,494,1,0
581,494,1,0
915,494,1,0
892,494,1,0
769,494,1,0
801,494,0,0
318,1535,1,0
572,537,1,0
655,1541,0,0
852,1541,0,0
655,1535,0,0
755,537,1,0
778,1541,0,0
618,494,1,0
581,1584,1,0
815,1584,1,0
870,307,1,0
957,307,1,0
769,307,0,0
578,307,0,0
801,1336,0,0
562,1541,0,0
561,1541,0,0
857,485,0,0
318,307,0,0
820,681,1,0
90,15,1,0
311,1737,1,0
328,1737,1,0
663,1541,1,0
314,1228,1,1
868,485,0,0
657,485,1,0
663,1336,0,0
755,1541,0,0
182,307,1,0
710,307,1,0
709,307,1,0
630,307,1,0
931,307,0,0
709,1737,1,0
710,1737,1,0
931,536,1,0
302,1541,1,0
931,1737,1,0
836,1541,0,0
820,307,1,0
562,1541,0,0
545,582,1,0
544,582,1,0
780,307,1,0
90,494,0,0
895,1737,1,0
770,494,1,0
661,307,0,0
632,1737,1,0
760,681,1,0
105,435,1,0
25,435,1,0
90,204,1,0
644,1737,1,0
618,266,1,0
596,1737,1,0
760,1368,1,0
603,435,0,0
640,1737,1,0
561,1368,1,0
562,1368,1,0
90,1216,0,0
562,1737,1,0
584,1535,1,0
247,876,1,1
264,1737,1,0
561,1535,1,0
562,1535,1,0
90,1535,0,0
931,22,1,0
90,1584,0,0
836,537,1,0
888,266,1,0
174,266,1,0
338,266,1,0
755,876,1,1
311,1268,0,0
958,1535,0,0
562,494,1,0
561,494,1,0
561,756,1,0
562,756,1,0
655,756,1,0
303,204,1,0
761,204,1,0
605,204,1,0
174,204,1,0
59,204,1,0
764,537,1,0
584,537,1,0
655,1737,0,0
801,266,0,0
332,1228,1,1
879,1228,1,1
714,257,0,0
836,785,0,0
738,257,1,0
90,785,0,0
630,494,1,0
836,166,0,0
285,144,1,0
888,537,1,0
634,1541,1,0
105,814,0,0
905,485,1,0
90,166,0,0
545,1737,1,0
251,144,1,0
430,144,0,0
836,144,0,0
801,537,1,0
713,537,0,0
867,537,1,0
714,537,0,0
574,257,1,0
942,1737,1,0
760,756,0,0
90,435,0,0
332,1392,1,0
768,537,1,0
760,428,1,0
948,536,1,0
650,494,1,0
302,494,1,0
778,494,1,0
821,96,1,0
600,1437,1,1
655,785,0,0
836,756,1,0
318,494,1,0
556,494,1,0
192,428,0,0
566,814,1,0
567,814,1,0
688,582,1,0
891,756,1,0
533,537,1,0
836,138,1,0
655,138,1,0
318,138,1,0
629,257,1,0
561,307,0,0
562,307,0,0
857,138,1,0
755,383,1,0
816,1737,1,0
760,307,0,0
562,25,1,0
929,1737,1,0
580,73,1,0
887,73,1,0
603,73,0,0
936,257,1,0
561,406,1,0
738,494,1,0
914,383,1,0
836,768,1,0
384,686,1,1
770,428,1,0
561,1365,1,0
939,910,1,0
816,1336,1,0
562,1365,1,0
655,582,1,0
836,383,1,0
935,686,1,1
738,756,0,0
792,257,1,0
738,5,1,0
815,428,1,0
738,307,0,0
603,582,0,0
836,1560,1,0
783,1737,1,0
623,1268,1,0
560,910,1,0
531,229,1,0
850,229,1,0
887,1660,0,0
192,582,1,0
801,1775,0,0
880,910,1,0
90,406,1,0
738,1737,1,0
801,9,1,0
782,138,1,0
836,1737,1,0
581,910,1,0
930,9,1,0
801,144,1,0
917,1737,1,0
905,1737,1,0
890,1737,1,0
852,1778,1,1
251,1778,1,1
561,1778,1,1
764,1228,1,1
584,1228,1,1
760,15,1,0
836,9,0,0
531,19,0,0
801,208,0,1
311,1228,1,1
931,608,1,1
738,271,0,0
562,38,1,0
561,38,1,0
640,8,1,0
543,21,1,0
930,144,1,0
940,21,0,0
651,1228,1,1
738,1268,1,0
781,536,1,0
868,21,1,0
533,15,1,0
