user_id,item_id,score
13,1059,0
633,75,1
623,1268,1
280,756,1
389,1320,1
589,1313,0
99,387,0
528,727,1
601,154,0
180,1107,1
132,14,1
474,336,0
351,711,1
337,103,1
383,316,1
360,1049,1
409,640,1
456,1227,1
537,321,1
296,6,1
469,464,1
703,56,1
800,111,1
127,1130,0
190,1525,1
47,705,1
253,395,0
236,289,1
307,1412,0
185,573,0
552,1163,0
352,365,1
367,58,1
513,266,1
468,1775,0
37,964,1
546,515,1
418,80,0
537,341,1
567,21,1
449,936,1
23,33,1
950,1202,1
532,1284,1
445,976,1
17,215,1
85,361,1
60,187,1
604,26,1
435,575,1
110,1346,1
311,753,1
253,750,1
846,891,1
599,436,1
904,872,1
311,1268,0
534,1705,0
826,19,1
470,987,1
30,566,1
405,187,1
380,1018,0
391,558,1
903,552,0
343,198,1
702,219,0
144,48,1
839,1395,1
196,405,1
845,695,1
3,253,0
580,1129,1
27,1526,1
42,276,1
922,291,1
310,1338,1
370,1357,1
362,771,1
531,946,1
545,598,0
490,273,0
873,1630,1
428,322,0
853,661,1
200,33,0
9,665,1
53,345,1
573,1742,1
433,61,1
350,1734,0
113,1535,0
848,508,1
225,630,1
2,32,1
81,7,1
387,416,1
46,1596,1
130,1033,0
759,660,1
288,399,1
870,785,1
708,33,0
543,44,1
56,1365,1
71,463,1
94,159,0
66,746,1
814,987,1
2,1190,1
541,605,1
31,31,1
337,27,1
368,4,1
556,623,1
238,49,1
583,89,1
102,1016,0
209,211,1
367,1362,1
923,299,1
75,1004,1
500,25,1
543,362,1
377,64,0
9,1773,1
153,1104,1
346,863,1
672,1473,0
815,335,1
393,449,1
968,892,1
838,445,1
343,160,0
43,576,1
425,1294,1
345,951,0
852,442,1
141,22,1
875,274,0
35,473,0
393,206,0
793,1520,1
18,1110,0
82,1682,0
84,677,1
712,170,1
846,561,1
966,246,0
554,1615,1
529,22,1
146,867,1
135,969,1
570,678,1
551,227,0
22,1670,1
628,50,0
354,83,1
318,415,1
244,1623,0
526,15,0
27,559,1
245,48,0
19,608,1
138,1235,1
390,52,0
437,1207,1
545,1306,1
783,1436,1
309,1099,1
705,143,1
123,156,0
465,1116,1
274,1543,1
596,756,1
12,1674,1
420,445,1
708,1053,1
620,661,1
61,1741,1
35,236,1
16,1205,1
67,678,1
867,537,1
61,4,0
78,190,1
63,13,1
19,590,1
214,1421,0
344,519,1
613,408,0
610,157,1
55,1682,0
206,241,1
243,710,0
68,65,0
244,1076,1
168,1,1
467,31,0
705,1063,1
590,332,1
32,607,1
685,253,0
228,792,1
363,1179,0
576,312,1
70,1594,0
424,780,1
839,1695,1
603,1747,1
177,11,1
660,1527,1
420,738,0
852,838,1
53,1317,1
709,1790,0
505,161,1
711,1435,0
163,71,0
840,32,0
140,30,1
184,112,0
438,594,1
56,175,1
173,1270,0
61,1009,1
250,42,1
100,763,1
183,441,1
215,258,1
122,1076,1
74,311,0
711,33,1
793,574,1
589,22,1
545,152,1
42,336,1
648,37,1
464,214,1
179,374,1
29,996,0
821,272,1
344,95,0
11,706,1
414,257,1
360,1091,0
467,1548,0
279,177,1
602,243,1
930,553,1
124,1393,1
99,1755,1
562,354,1
16,178,1
27,1333,1
790,305,1
725,370,0
570,550,1
924,748,0
718,280,1
411,290,1
389,456,1
29,1289,1
120,1221,1
33,1713,1
821,731,1
753,1375,1
542,167,1
164,810,1
138,330,1
310,1157,1
367,65,1
319,459,1
361,149,0
831,118,1
97,1734,0
198,16,1
476,112,1
346,569,1
556,305,1
243,135,1
385,1700,1
129,928,1
12,1446,1
14,726,1
3,4,1
858,48,1
139,101,1
540,1465,0
372,1085,0
396,929,1
586,233,1
855,32,0
172,273,1
354,1064,0
710,139,1
540,463,1
623,217,1
132,258,1
592,1542,1
140,614,0
347,540,1
637,1585,0
256,374,0
622,641,1
844,782,1
870,977,1
189,204,1
631,525,0
587,1753,1
108,1657,0
500,1422,1
843,1115,1
846,1569,1
992,1395,1
554,1712,1
720,22,0
875,1271,1
355,1351,1
560,1371,1
125,375,1
423,933,1
152,88,0
58,35,1
104,707,1
16,59,1
614,144,1
395,274,1
251,693,1
526,22,1
344,1263,0
195,45,1
716,1543,1
60,37,1
15,101,1
6,1564,0
19,536,1
586,271,1
554,158,1
432,1268,1
532,197,0
190,607,1
784,250,1
529,997,1
687,118,0
60,1383,0
108,162,1
53,257,1
114,83,1
354,469,1
47,384,0
14,1027,0
427,92,1
727,130,1
721,1128,0
439,320,1
95,34,1
932,914,1
92,60,1
80,563,0
710,40,1
851,894,1
22,461,0
609,613,1
661,322,1
472,653,1
44,1789,1
165,443,1
695,730,0
151,174,0
753,1314,1
157,598,0
61,425,1
118,230,0
91,37,1
833,227,1
762,1346,1
55,248,1
215,1350,1
9,1025,1
365,186,1
425,396,1
944,464,1
202,582,1
666,22,1
731,5,1
259,20,1
354,856,1
651,477,1
410,294,0
572,372,1
248,153,0
817,1541,1
348,82,1
680,167,1
234,24,1
66,301,1
605,157,1
425,514,1
412,85,1
827,961,0
553,228,1
496,23,1
534,298,0
846,366,1
69,1475,1
806,1372,0
882,1678,1
130,928,0
443,81,1
231,10,0
235,488,0
531,11,1
869,904,1
412,247,1
219,18,1
63,1054,1
84,1703,1
764,685,1
5,487,1
200,958,1
629,90,1
17,1335,1
752,991,1
384,910,1
196,270,1
600,364,1
32,213,1
276,1421,1
234,1162,1
835,718,1
970,1472,1
838,71,0
602,7,1
540,380,1
568,115,0
98,579,1
887,228,1
345,1197,1
5,314,1
104,849,1
412,792,1
902,890,1
732,203,1
269,97,0
811,1585,0
238,549,0
849,1055,1
361,81,1
551,49,1
837,1356,1
834,424,1
666,1065,1
698,1147,1
445,421,0
489,725,0
95,79,1
531,1608,0
364,343,1
3,896,1
619,1636,1
763,988,1
751,178,1
31,193,1
8,1450,0
859,11,1
217,962,1
652,910,1
547,116,0
146,1,1
128,1451,1
21,996,1
445,1457,0
630,1555,1
36,366,1
482,740,1
367,50,1
63,21,1
702,4,1
410,1111,1
583,262,1
118,816,1
867,324,1
282,984,1
431,4,0
554,1655,1
30,1442,1
473,3,1
3,45,0
396,141,1
2,474,0
731,129,0
110,27,1
490,841,1
839,1190,1
850,1540,0
72,210,0
864,560,1
33,37,1
27,1414,1
52,21,1
362,32,1
689,395,0
823,1062,1
421,35,1
682,64,1
669,1265,1
410,482,1
241,853,0
150,1251,1
585,492,1
143,341,1
433,988,1
749,568,1
458,234,0
719,436,1
183,14,1
288,369,1
6,145,1
405,553,0
570,926,1
669,1726,1
368,448,1
345,103,1
479,85,1
179,296,1
37,153,0
63,144,0
246,694,0
129,424,1
573,330,1
431,197,1
533,124,1
393,271,0
714,545,0
113,1092,1
520,737,1
707,208,0
170,65,1
746,47,1
845,119,1
9,927,1
966,1116,1
496,747,1
333,1,1
382,225,0
101,54,0
264,914,1
233,1033,0
419,820,0
90,1237,1
617,1498,0
905,848,1
687,683,0
837,809,1
403,1628,1
993,1207,1
87,602,1
182,108,1
390,1257,1
514,1316,1
397,378,0
210,90,0
177,841,0
238,1710,1
445,843,1
224,31,1
26,343,1
509,616,1
885,1404,1
196,201,1
423,438,0
3,1747,1
839,1551,1
353,1551,1
38,337,0
361,651,1
99,9,0
331,26,0
938,1588,1
105,56,1
932,54,1
435,18,1
905,1041,1
80,1191,1
556,429,1
302,1,1
244,828,1
4,767,0
53,1335,1
2,1,1
481,1093,0
12,1137,1
447,1164,1
536,1091,1
743,370,1
27,97,0
859,6,1
364,304,1
129,1741,1
325,1515,1
723,128,1
518,1418,1
562,25,1
167,157,1
231,1055,0
540,121,0
408,1705,1
104,1154,1
810,784,1
79,170,1
419,692,1
438,751,1
319,706,1
531,618,1
899,125,1
22,1641,1
46,1019,0
469,69,1
430,116,1
200,597,0
450,132,1
395,1274,1
903,540,1
262,486,1
369,669,0
401,639,0
193,1,0
79,980,1
349,928,1
69,6,1
103,390,0
814,1240,0
350,418,0
114,1241,1
109,30,0
28,35,1
755,197,1
97,806,0
53,464,1
218,269,1
486,1326,1
403,847,0
57,400,1
108,762,1
619,815,1
763,888,1
611,275,1
257,1208,1
18,1132,0
764,45,1
890,679,1
12,672,1
473,1528,1
11,527,1
308,7,1
175,891,1
12,1215,1
113,1493,1
491,4,1
836,21,1
518,1433,1
374,978,1
872,580,1
177,44,1
952,505,1
35,1073,1
850,226,1
981,1773,1
5,1654,0
184,604,0
23,105,1
27,943,1
954,77,0
238,180,0
347,1752,1
852,882,1
84,480,1
27,1565,1
21,315,1
681,415,0
660,24,0
540,99,1
426,413,1
391,110,1
14,161,1
816,598,1
582,51,0
728,128,1
728,320,1
534,483,1
535,1798,1
932,926,1
248,1526,1
187,1292,1
40,313,0
13,89,0
119,1143,1
46,1505,0
563,3,1
1,506,1
320,1256,0
206,64,0
20,221,1
904,157,1
217,63,0
750,314,1
44,32,1
257,421,1
349,173,1
288,1502,1
389,846,1
532,758,1
4,543,1
255,210,1
120,799,1
673,1083,1
128,732,1
13,1123,0
277,935,1
404,1772,1
84,996,1
766,196,1
828,625,1
121,1325,1
334,678,1
636,266,0
668,1431,1
100,127,0
153,252,1
825,1305,1
872,1600,1
190,57,0
375,483,1
217,1032,1
131,1184,1
671,869,1
584,731,1
299,1,1
586,126,1
426,77,1
53,46,1
36,281,1
551,1429,0
200,153,1
47,179,0
875,551,0
402,1383,1
11,1174,0
495,36,1
755,1118,1
766,146,0
41,864,1
160,517,0
592,99,1
81,101,1
778,624,1
634,217,0
775,1647,1
481,760,1
845,541,1
87,411,1
811,341,1
670,931,1
746,1745,0
820,54,1
352,64,1
4,431,0
673,1572,1
809,106,0
531,825,1
82,200,1
982,1230,1
716,632,1
689,1019,1
633,688,1
107,432,0
51,1146,1
463,1681,0
525,530,0
4,1275,1
563,61,1
45,347,1
539,30,1
10,124,1
11,21,1
195,131,1
185,1307,1
450,869,0
366,759,1
763,329,1
344,1702,0
852,1170,1
881,1043,1
748,1793,1
3,118,0
343,841,0
32,969,1
298,1391,1
198,737,1
75,109,1
483,1226,0
23,1290,1
830,473,1
119,1,1
597,180,1
14,197,1
261,1469,0
650,51,1
94,905,0
27,754,1
445,23,0
887,12,1
856,1018,0
901,130,1
746,1064,1
337,160,0
32,251,1
471,1311,1
171,77,1
361,23,1
20,14,1
166,242,0
181,1006,1
799,626,1
533,15,1
3,819,1
458,1162,1
217,485,0
770,32,1
64,356,1
562,278,1
671,211,1
15,606,0
425,353,1
871,484,1
860,524,1
755,949,0
347,605,0
177,1472,1
663,545,0
418,51,0
60,802,1
258,621,0
650,1203,0
51,750,0
347,166,1
547,404,1
697,43,0
48,429,1
348,483,1
566,239,1
589,601,0
52,606,1
289,9,0
81,1106,1
688,433,0
669,31,1
669,1291,1
720,278,0
103,1727,0
531,1243,1
26,958,0
117,616,1
84,1146,0
344,103,1
752,1224,1
236,782,1
143,1675,1
3,1466,1
667,774,0
551,435,0
23,1794,1
846,1388,1
166,312,1
49,97,0
446,1487,0
756,633,1
744,269,1
204,1458,1
267,74,0
82,1428,0
66,1032,0
26,92,1
27,1305,1
801,632,0
89,1695,1
553,219,0
273,1614,1
796,587,1
63,1267,0
409,186,1
668,17,1
592,1531,0
550,212,1
808,809,1
53,26,1
741,3,1
51,361,0
562,249,1
371,34,1
408,1016,0
425,350,1
84,169,0
43,1509,1
41,1807,1
76,58,1
34,778,1
48,517,1
536,150,1
320,251,0
125,91,1
409,637,1
345,157,1
541,1365,1
812,596,1
12,968,1
661,851,0
555,111,1
176,59,1
281,284,1
903,835,0
435,165,1
7,31,1
566,814,1
427,1771,0
633,1544,1
402,966,0
399,1607,1
9,30,0
857,166,0
541,756,1
737,167,1
527,94,1
817,1731,1
352,1582,1
200,2,1
232,1213,1
481,400,1
850,923,1
534,905,1
172,69,1
718,761,0
16,242,0
247,1335,1
927,209,1
542,1453,1
18,429,1
766,11,1
87,821,1
196,241,0
143,384,0
857,735,1
13,92,1
63,1243,1
716,78,1
460,840,1
718,396,1
737,100,1
757,107,0
12,15,1
204,651,1
422,1019,1
97,270,0
771,380,0
905,756,1
351,1239,1
448,433,0
282,86,1
98,218,1
359,860,1
378,202,1
37,56,1
149,1177,0
489,439,1
195,13,1
190,1772,1
167,69,1
941,1626,1
587,456,1
898,113,1
9,1450,0
63,736,1
810,1153,1
198,1238,1
748,1513,1
302,100,1
368,280,1
371,16,1
306,813,0
770,618,0
413,365,1
360,465,1
149,475,1
898,777,1
712,71,1
60,1387,1
59,134,1
942,897,1
419,52,1
348,688,1
782,1022,0
8,31,1
422,1717,1
567,299,1
2,84,1
348,1582,0
910,54,1
763,1716,1
544,1707,1
234,20,1
570,778,1
895,51,1
566,414,1
4,1536,0
82,957,1
558,91,1
584,198,1
802,1326,0
14,1642,1
402,765,0
359,32,1
97,546,0
429,1187,0
20,1562,1
38,33,1
690,1040,1
5,1695,0
314,771,1
14,806,1
516,1607,0
556,980,1
22,108,0
98,600,1
198,41,1
707,912,1
82,1720,1
815,35,1
870,165,0
38,1664,1
115,1718,1
272,74,0
31,67,1
15,6,1
717,398,1
675,1357,1
510,1527,0
375,1805,1
302,842,1
762,24,1
64,698,1
202,26,0
989,96,1
375,465,0
709,45,0
391,114,1
974,128,1
226,100,1
112,755,0
907,40,1
361,255,1
91,511,1
76,1468,1
122,144,0
387,4,1
