user_id,item_id,score,con_label
102,178,4,1
102,154,4,1
102,362,4,1
102,1007,4,0
102,733,4,0
102,61,3,1
102,972,4,0
102,114,4,1
102,137,3,1
102,1055,3,0
102,312,4,1
102,241,5,1
102,348,4,1
846,732,2,0
846,407,3,1
846,491,3,0
846,447,5,0
846,782,4,0
846,708,4,0
846,453,4,1
846,404,4,1
846,417,3,0
706,177,5,0
706,619,2,0
706,358,4,1
706,309,5,0
706,115,5,1
706,213,4,0
706,292,5,1
706,321,5,1
706,817,4,0
706,103,5,1
706,157,4,1
706,719,5,0
706,162,5,1
706,322,5,1
706,53,5,1
706,519,4,0
706,30,2,1
706,735,1,1
706,436,4,0
706,294,4,0
706,439,5,1
706,481,4,1
706,21,5,0
706,413,4,1
706,180,4,1
706,232,5,1
706,170,3,0
706,51,4,1
706,192,3,1
706,208,4,1
706,300,3,1
706,1204,4,1
706,146,2,0
706,48,4,1
706,330,3,1
706,1296,4,0
706,359,3,0
706,136,3,0
706,466,4,0
706,577,4,0
706,1119,4,0
706,183,3,1
706,310,5,1
706,348,5,1
706,557,5,0
706,920,4,0
706,529,3,1
706,219,3,0
706,265,5,0
706,888,4,0
706,317,5,0
706,284,4,0
706,367,5,1
706,611,4,0
706,54,4,1
706,694,4,0
706,937,1,0
706,475,3,1
706,432,5,1
706,962,4,1
706,473,5,0
706,397,5,0
706,202,5,1
706,331,1,0
706,476,3,0
706,906,4,0
706,1050,4,0
706,27,4,1
706,355,3,0
706,545,3,1
706,544,4,0
846,84,3,1
846,303,3,0
846,365,5,1
846,389,4,0
846,137,5,1
846,125,3,0
21,653,5,1
21,290,5,1
21,145,4,1
21,1077,5,0
21,446,3,0
21,50,5,1
21,358,5,1
21,393,4,0
21,182,5,1
21,713,5,0
21,223,4,0
21,29,4,0
21,154,4,1
21,78,5,1
21,271,4,1
21,515,4,0
21,210,5,1
21,535,4,0
21,88,5,0
21,553,5,1
21,696,2,1
21,404,4,1
21,13,5,1
21,307,3,0
21,537,4,0
21,53,4,1
21,365,5,1
21,247,5,1
21,488,4,0
21,366,4,0
21,279,4,1
21,1035,4,0
21,356,4,1
21,705,4,0
21,18,4,1
21,199,5,0
21,11,4,1
21,782,3,0
21,1164,4,1
21,306,2,1
21,137,4,1
21,556,2,0
21,26,4,1
21,166,3,0
21,524,2,0
636,194,4,0
636,230,4,1
636,298,5,1
636,100,4,1
636,572,5,1
636,217,5,1
636,93,4,0
636,261,5,1
636,6,4,1
636,350,4,0
636,240,5,1
636,338,4,1
636,289,5,1
636,501,4,0
636,278,5,1
636,357,5,1
636,248,5,1
636,530,4,0
636,592,5,0
636,48,4,1
636,633,5,0
636,94,5,1
636,237,5,0
636,647,5,0
636,103,5,1
636,45,4,1
636,551,5,0
636,241,5,1
636,558,5,1
