user_id,item_id,score
894,87,3
611,1258,1
402,453,5
53,974,4
547,83,3
583,65,3
106,83,3
868,1004,2
196,232,2
211,145,2
893,485,3
881,201,4
528,492,3
429,556,3
645,35,5
645,644,2
333,381,4
303,58,5
93,77,3
367,919,3
634,528,2
330,696,4
535,644,4
928,981,4
152,24,5
116,268,2
662,568,4
888,429,4
645,1029,3
378,1009,1
76,254,4
405,695,5
173,5,5
860,326,5
386,187,5
441,400,4
36,1287,1
468,378,4
477,391,4
831,502,4
262,596,4
877,160,2
118,1226,5
9,572,4
209,532,3
147,332,4
899,180,2
886,368,4
24,502,5
900,231,5
600,404,1
881,992,5
370,213,3
137,802,3
636,230,4
319,352,4
908,465,2
677,25,4
486,207,3
235,720,4
601,183,3
279,358,3
596,88,4
517,152,2
574,134,4
645,873,3
764,192,5
876,158,4
562,1035,3
549,327,5
876,954,1
312,343,3
651,507,3
707,325,3
645,180,5
670,79,5
344,146,5
876,782,3
603,175,5
70,140,1
15,669,2
159,13,5
255,1242,4
428,281,4
35,149,5
385,626,5
403,797,1
422,143,3
158,82,4
418,11,3
709,924,3
517,921,4
846,365,5
6,96,3
370,459,3
250,276,5
24,550,4
310,481,4
397,784,4
88,495,3
832,101,4
340,358,5
12,1422,5
59,679,3
681,178,2
154,162,4
96,693,1
395,66,2
608,100,1
882,32,5
85,145,3
886,242,4
764,445,2
176,205,3
472,216,1
694,874,5
163,252,5
618,1040,2
389,59,5
896,358,4
526,340,1
570,171,5
429,1021,2
926,187,4
505,53,4
238,137,4
123,501,5
563,568,4
655,623,4
512,513,5
502,198,3
618,419,5
117,891,2
11,195,3
820,310,4
925,361,4
938,26,4
471,253,4
691,550,4
23,575,5
633,905,3
91,932,5
579,990,3
310,532,3
530,105,3
370,283,2
106,972,2
618,833,1
8,50,4
885,98,3
633,142,5
764,507,1
422,304,4
370,456,3
446,794,2
787,96,3
937,361,3
29,343,4
824,262,3
779,682,4
934,143,3
318,192,5
96,1147,1
312,614,2
518,13,4
650,491,1
44,527,1
760,217,4
362,124,4
96,274,4
117,232,5
781,44,4
64,857,4
312,236,4
116,299,3
105,417,5
417,145,3
924,98,4
326,308,3
650,81,2
403,793,1
791,658,3
240,275,3
836,308,2
154,436,2
