user_id,item_id,score
419,1046,0
59,8,0
610,1269,0
598,779,0
57,1728,1
448,2175,1
121,233,1
19,1621,0
183,197,1
414,1713,1
448,2264,0
18,1335,0
275,3027,1
563,926,1
195,75,1
414,4629,1
555,91,0
480,2233,0
368,1501,0
312,107,0
166,212,0
341,899,1
586,2427,1
62,1939,1
21,1349,0
414,1154,1
605,74,1
525,242,0
332,1218,1
448,4110,0
599,37,0
599,2052,0
484,53,1
438,1853,0
182,754,0
489,1268,0
608,1022,1
480,5903,0
599,1457,0
140,4943,0
274,5940,1
21,2010,0
68,1614,1
298,4732,0
489,1195,0
157,416,0
600,6186,0
437,510,0
560,3379,0
104,1553,0
590,31,0
298,184,0
599,1023,0
606,8171,0
474,2162,0
132,1202,0
100,1624,1
555,1027,0
425,837,0
187,831,1
221,1643,0
68,1566,0
380,962,1
560,209,0
198,1019,0
483,8,1
7,422,1
305,2988,1
414,4220,0
395,27,1
444,1094,1
42,35,1
307,118,1
318,6795,0
47,2730,0
294,1504,1
294,1452,1
576,1470,0
380,1215,1
177,311,0
524,516,1
477,88,1
73,229,1
605,2431,1
562,8,1
298,4202,0
156,58,0
603,7257,1
590,865,1
50,988,0
160,2153,0
286,463,0
20,1847,0
502,178,0
411,13,1
294,836,0
52,1089,1
472,445,0
414,1619,0
249,822,0
517,1536,0
15,185,1
489,647,0
610,2394,0
140,671,0
256,1839,1
160,573,0
477,1518,0
448,114,1
166,268,0
274,1601,0
255,1106,0
382,1075,1
334,3501,0
480,470,1
243,323,0
21,1915,0
328,724,1
158,701,0
73,768,1
525,1842,0
495,1878,1
275,6346,1
242,588,0
387,402,0
451,475,0
197,1683,1
597,1653,1
249,1066,0
269,293,1
288,195,0
18,472,0
304,1027,0
75,397,1
599,1907,0
382,723,1
441,242,1
105,4356,1
288,199,1
187,76,1
292,6480,0
346,2119,0
68,998,0
577,273,1
275,3543,1
349,471,1
166,2326,0
21,917,0
263,1126,1
483,4858,0
570,183,0
274,1050,1
376,531,1
227,1256,1
599,732,0
66,1120,1
